Time,Quadrant Number,Ball Colour,Type
27.859688312912347,4,Peach,Entry
27.892973484134465,"(1758, 10, 2)",Red,Exit
27.892973484134465,2,Red,Entry
27.892973484134465,"(1509, 277, 2)",Blue,Exit
27.892973484134465,2,Blue,Entry
27.892973484134465,"(1106, 242, 2)",Yellow,Exit
27.892973484134465,2,Yellow,Entry
27.892973484134465,"(1308, 981, 4)",Orange,Exit
27.892973484134465,4,Orange,Entry
27.892973484134465,"(1847, 328, 2)",White,Exit
27.892973484134465,2,White,Entry
27.892973484134465,"(1173, 911, 4)",Peach,Exit
27.892973484134465,4,Peach,Entry
27.926258655356584,"(1332, 2, 2)",Red,Exit
27.926258655356584,2,Red,Entry
27.926258655356584,"(1509, 277, 2)",Blue,Exit
27.926258655356584,2,Blue,Entry
27.926258655356584,"(1106, 242, 2)",Yellow,Exit
27.926258655356584,2,Yellow,Entry
27.926258655356584,"(1051, 951, 4)",Orange,Exit
27.926258655356584,4,Orange,Entry
27.926258655356584,"(1847, 251, 2)",White,Exit
27.926258655356584,2,White,Entry
27.926258655356584,"(1156, 911, 4)",Peach,Exit
27.926258655356584,4,Peach,Entry
27.959543826578702,"(1333, 3, 2)",Red,Exit
27.959543826578702,1,Red,Entry
27.959543826578702,"(1509, 277, 2)",Blue,Exit
27.959543826578702,2,Blue,Entry
27.959543826578702,"(1106, 242, 2)",Yellow,Exit
27.959543826578702,2,Yellow,Entry
27.959543826578702,"(1041, 945, 4)",Orange,Exit
27.959543826578702,4,Orange,Entry
27.959543826578702,"(1847, 251, 2)",White,Exit
27.959543826578702,2,White,Entry
27.959543826578702,"(1165, 911, 4)",Peach,Exit
27.959543826578702,4,Peach,Entry
27.992828997800817,"(772, 8, 1)",Red,Exit
27.992828997800817,1,Red,Entry
27.992828997800817,"(1509, 276, 2)",Blue,Exit
27.992828997800817,2,Blue,Entry
27.992828997800817,"(1106, 242, 2)",Yellow,Exit
27.992828997800817,2,Yellow,Entry
27.992828997800817,"(1039, 950, 4)",Orange,Exit
27.992828997800817,4,Orange,Entry
27.992828997800817,"(1847, 212, 2)",White,Exit
27.992828997800817,2,White,Entry
27.992828997800817,"(1152, 912, 4)",Peach,Exit
27.992828997800817,4,Peach,Entry
28.026114169022936,"(767, 9, 1)",Red,Exit
28.026114169022936,1,Red,Entry
28.026114169022936,"(1509, 276, 2)",Blue,Exit
28.026114169022936,2,Blue,Entry
28.026114169022936,"(1107, 242, 2)",Yellow,Exit
28.026114169022936,2,Yellow,Entry
28.026114169022936,"(1050, 965, 4)",Orange,Exit
28.026114169022936,4,Orange,Entry
28.026114169022936,"(1847, 211, 2)",White,Exit
28.026114169022936,2,White,Entry
28.026114169022936,"(1156, 918, 4)",Peach,Exit
28.026114169022936,4,Peach,Entry
28.059399340245054,"(764, 9, 1)",Red,Exit
28.059399340245054,1,Red,Entry
28.059399340245054,"(1509, 276, 2)",Blue,Exit
28.059399340245054,2,Blue,Entry
28.059399340245054,"(1106, 241, 2)",Yellow,Exit
28.059399340245054,2,Yellow,Entry
28.059399340245054,"(1337, 1008, 4)",Orange,Exit
28.059399340245054,4,Orange,Entry
28.059399340245054,"(1847, 247, 2)",White,Exit
28.059399340245054,2,White,Entry
28.059399340245054,"(1165, 925, 4)",Peach,Exit
28.059399340245054,4,Peach,Entry
28.09268451146717,"(765, 9, 1)",Red,Exit
28.09268451146717,1,Red,Entry
28.09268451146717,"(1509, 277, 2)",Blue,Exit
28.09268451146717,2,Blue,Entry
28.09268451146717,"(1106, 241, 2)",Yellow,Exit
28.09268451146717,2,Yellow,Entry
28.09268451146717,"(1255, 977, 4)",Orange,Exit
28.09268451146717,4,Orange,Entry
28.09268451146717,"(1847, 247, 2)",White,Exit
28.09268451146717,2,White,Entry
28.09268451146717,"(1166, 926, 4)",Peach,Exit
28.09268451146717,4,Peach,Entry
